ID	Label	Notes	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	lIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	rIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
1	1	notes1	0,262825439	0,803043695	0,012822033	0,589223335	0,950509692	0,115756051	0,102220917	0,760124209	0,223236518	0,590899066	0,626794231	0,269340502	0,885467036	0,721360875	0,07648195	0,519764889	0,163252697	0,54201749	0,857487058	0,399046778	0,855961615	0,8162086	0,996194671	0,239188473	0,793221995	0,735788261	0,09971416	0,14311745	0,258192481	0,686318107	0,094501393	0,840394403	0,486154072	0,117347631	0,016533852	0,543413949	0,21964642	0,474556496	0,731134308	0,04745927	0,222039871	0,34566425	0,126430249	0,867677571	0,801898394	0,600305363	0,491170242	0,976840022	0,56033966	0,946583792	0,424823591	0,062614394	0,013100508	0,734478369	0,825999686	0,997373291	0,368950454	0,086998188	0,702636343	0,768548878	0,341736207	0,833470428	0,833664619	0,131259829	0,565952398	0,110732354	0,675667644	0,055004736
2	2	notes2	0,959702245	0,086851243	0,454561662	0,060917572	0,42615679	0,679526503	0,55942277	0,113165508	0,052087331	0,20564614	0,078502839	0,91946412	0,193364312	0,998774547	0,88588811	0,007022332	0,268984723	0,500839289	0,655647597	0,407990899	0,083221791	0,967652635	0,841405656	0,4761429	0,985445361	0,451625279	0,462842503	0,167438921	0,636806868	0,250622896	0,448477368	0,297654689	0,288996702	0,702137992	0,10080341	0,404283035	0,079859685	0,009314864	0,566951571	0,045892052	0,04184215	0,398514341	0,744633345	0,778879357	0,545510087	0,332879483	0,191907243	0,173551599	0,616484556	0,941461867	0,559475347	0,088967001	0,097159671	0,712381394	0,91685163	0,975167132	0,495665134	0,477959018	0,443910908	0,323241822	0,552787374	0,0591119	0,853654012	0,249128182	0,918534887	0,473579698	0,401617242	0,123319707
3	3	notes3	0,993211918	0,672104238	0,013508968	0,200418457	0,845857238	0,749701408	0,132047319	0,934974628	0,043822503	0,440965864	0,196613872	0,490519398	0,265646085	0,408836034	0,191649937	0,622406456	0,377306156	0,006606484	0,209699134	0,59282836	0,509093176	0,113893444	0,621528199	0,860608095	0,700059293	0,984233304	0,393628092	0,803064742	0,516068746	0,380114562	0,883150605	0,211858605	0,77587829	0,703780734	0,866968208	0,709744885	0,959683157	0,867857165	0,744676451	0,165976494	0,429740414	0,34565762	0,800047086	0,68642137	0,970499418	0,221054396	0,494605482	0,36668064	0,12205675	0,128183399	0,769983264	0,403713906	0,207430769	0,823669352	0,408256337	0,048633298	0,882144842	0,699365337	0,136993748	0,028087165	0,122636429	0,654349961	0,346943101	0,949750959	0,65366505	0,185866764	0,149237439	0,329061305
4	4	notes4	0,450480707	0,426750959	0,880411363	0,714679457	0,309702251	0,804351812	0,502325622	0,372148387	0,258535923	0,189005548	0,691688731	0,1554706	0,605409126	0,851292316	0,002896272	0,16192096	0,361807212	0,202212734	0,502006255	0,189890644	0,084986411	0,033665077	0,991482322	0,585673683	0,074807772	0,011171885	0,338432729	0,308092941	0,552894509	0,133586867	0,423168638	0,207668588	0,731291208	0,104822389	0,494493102	0,445229407	0,816814637	0,964500887	0,678959514	0,920617937	0,896171921	0,06052707	0,793588587	0,849538566	0,428165765	0,847797603	0,021881702	0,100491087	0,67816762	0,510774591	0,556431438	0,372278786	0,198517684	0,290102237	0,91809241	0,546860182	0,252966817	0,846026872	0,716690396	0,626887356	0,989279589	0,328683929	0,980705569	0,801691214	0,914116061	0,143909433	0,092403143	0,88665685
5	5	notes5	0,446035536	0,501275624	0,044488887	0,535473985	0,180115436	0,007610674	0,859972846	0,99658495	0,66921709	0,478876284	0,994310241	0,585009175	0,224764941	0,568078754	0,581743984	0,302670468	0,681815373	0,688545215	0,334153878	0,198666461	0,476527135	0,231422823	0,04798812	0,752219408	0,378844726	0,798394929	0,676444976	0,181681651	0,119434802	0,425883818	0,670257537	0,339497605	0,325970962	0,37382815	0,586314669	0,877266966	0,22195059	0,411266633	0,549458015	0,774002488	0,183931594	0,182572056	0,494554227	0,77593484	0,742054342	0,181347946	0,510239943	0,942939601	0,102781528	0,201488118	0,819598382	0,675774677	0,041374402	0,813045138	0,01051723	0,813477376	0,893784289	0,561117454	0,11482089	0,157048118	0,022336201	0,817465113	0,285656452	0,939234845	0,555251514	0,148715656	0,002095559	0,125772745
6	6	notes6	0,361935141	0,249893011	0,055416004	0,253910926	0,520730074	0,612248291	0,021585268	0,498750855	0,614312241	0,003827691	0,447626251	0,906404193	0,691080772	0,144650804	0,628829908	0,464833074	0,732866062	0,496334893	0,53454269	0,64383984	0,571270507	0,487035707	0,990865224	0,373351491	0,880921705	0,906690081	0,835587497	0,580878242	0,452968669	0,27768785	0,545710793	0,552283304	0,398337898	0,942164137	0,682109647	0,238970384	0,351276558	0,475411454	0,254846247	0,081096725	0,854836934	0,742826209	0,983653293	0,526324156	0,616759598	0,795719575	0,554176164	0,704544297	0,818844884	0,373421215	0,179676377	0,881751832	0,924544758	0,742707164	0,502546684	0,340335622	0,515416754	0,37553599	0,096906875	0,590936794	0,498316129	0,288463008	0,356222983	0,748419377	0,841423342	0,180401173	0,509629513	0,406118767
7	7	notes7	0,53273532	0,147026507	0,076770407	0,518879433	0,217641244	0,615686214	0,581037661	0,559555309	0,929984006	0,987234636	0,739126329	0,506427921	0,041803194	0,809349502	0,627822276	0,514501445	0,295752038	0,080256684	0,617388066	0,799759663	0,312944494	0,251374256	0,658352892	0,467247768	0,716657122	0,921654432	0,862991329	0,776297713	0,858004491	0,286322641	0,816829752	0,152222088	0,111203679	0,128663962	0,093017722	0,918982694	0,010077979	0,956043143	0,656859946	0,377276296	0,119439376	0,798972659	0,302583728	0,783869946	0,57818889	0,064642882	0,87268258	0,514846092	0,791297983	0,637454935	0,075991001	0,12540796	0,387881887	0,954308604	0,539661953	0,018263034	0,441501761	0,910776691	0,127370494	0,371821337	0,294835459	0,445347645	0,770531666	0,648283104	0,870760632	0,02782925	0,197267552	0,484065687
8	8	notes8	0,129045958	0,731386007	0,397022971	0,787271126	0,145325051	0,018020898	0,023171416	0,854406419	0,32753295	0,355967436	0,211354639	0,205658315	0,801124695	0,243403055	0,783035504	0,67172938	0,45118636	0,921206112	0,656269662	0,304319492	0,576754964	0,974748678	0,814671655	0,359071718	0,580263193	0,713070723	0,681235931	0,277340603	0,008776769	0,131524987	0,672545522	0,623873559	0,706829384	0,298832677	0,722436434	0,021123302	0,936647901	0,628817567	0,556372031	0,150194175	0,746774578	0,349173231	0,782343066	0,361590054	0,889070103	0,72776841	0,247321154	0,325395281	0,252101797	0,875083147	0,546661368	0,769515499	0,559600033	0,196797821	0,741887121	0,125426863	0,603088076	0,572522439	0,110531556	0,216547599	0,178586609	0,077450424	0,16224178	0,579848821	0,416303088	0,733708254	0,363598367	0,188878158
9	9	notes9	0,248776873	0,902965783	0,987197981	0,069311706	0,620770935	0,337572924	0,132170354	0,676887882	0,512654681	0,990542135	0,449232089	0,725602128	0,875084674	0,873909264	0,577959175	0,941900821	0,412671262	0,698439404	0,968079517	0,276871826	0,435221147	0,637054566	0,669153701	0,205268521	0,20053228	0,647437639	0,714131053	0,650454746	0,463951644	0,345526642	0,535500874	0,691634647	0,009420347	0,51000526	0,086450373	0,736712049	0,028316725	0,890342484	0,738722585	0,395735909	0,676534805	0,353645838	0,575562082	0,897312355	0,442611771	0,671284488	0,10235997	0,324696332	0,936734773	0,21717919	0,17767956	0,16162206	0,846209967	0,628347439	0,056632057	0,599794892	0,860438405	0,873104364	0,951835122	0,082277903	0,419374492	0,019704565	0,4687033	0,901519445	0,567009051	0,768934277	0,685182904	0,878201038
10	10	notes10	0,478048506	0,034376088	0,445175301	0,867117617	0,638180427	0,933713639	0,32834748	0,422467226	0,786554074	0,192801151	0,988000249	0,200016626	0,286055472	0,225324782	0,516692832	0,542040288	0,561444381	0,931518925	0,729321137	0,908337335	0,439796896	0,834666537	0,494361286	0,605315048	0,809729671	0,052554272	0,660190602	0,425249265	0,282196341	0,363885565	0,114796835	0,099446726	0,556482497	0,500844032	0,671489758	0,068937662	0,849195543	0,367422369	0,828824098	0,060490055	0,570083373	0,858115713	0,481203329	0,117043076	0,842585307	0,194265315	0,679923727	0,627161602	0,759630662	0,41937614	0,930368701	0,827847095	0,035760902	0,624929823	0,575064437	0,379445214	0,545078321	0,102467267	0,628538964	0,83397782	0,364082379	0,694837793	0,310122871	0,535618803	0,610631475	0,131886423	0,373945421	0,688205862
